term,simple
intraperitoneal chemotherapy,Chemotherapy drugs directly put into the belly using a tube to treat cancer.
intraphalangeal,Between the bones in your fingers or toes.
intrapleural,The area between the lung and the chest wall.
INTRAPROCEDURAL,Taking place within a procedure.
intrapulmonary,Inside your lungs.
intrarenal,Happening inside the kidney.
intrascapular,Intrascapular means near or within a shoulder blade.
intrasellar,A term that is related to the sella turcica in the brain where the pituitary gland is located.
Intraspinal,It means within the spine (backbone).
intrathecal baclofen,Liquid medicine put near the spinal cord to lessen muscle spasms.
intrathecal chemotherapy,Treatment for cancer that is injected directly into the area surrounding the brain and spinal cord.
intrathecally,The space filled with fluid surrounding the brain and spinal cord.
intrathoracic,Within the part of the body between the neck and abdomen.
intrathoracic stomach,When the stomach pushes up into the chest due to a hiatal hernia.
INTRATRABECULAR,Between the small holes in spongy bone.
intratrochanteric,A region on the hip bone prone to fractures.
intratubular,Stuff that clogs the tubes in the kidney.
intratumoral,Inside a tumor.
intratympanic,A tube placed in the ear to keep it open.
intrauterine,"It means ""inside the uterus."""
intrauterine device,A small plastic device shaped like a T that goes inside the womb to prevent pregnancy.
INTRAUTERINE DEVICED,"A small, plastic device put in the womb to prevent pregnancy."
intrauterine pregnancy,A pregnancy where the fertilized egg implants and grows in the uterus where it belongs.
intravascular,Something inside a blood vessel.
intravascularly,Inside the blood vessels.
INTRAVEN,Putting fluids or medicine directly into a vein using a needle.
intravenous,Putting fluids and medicine into your body through a needle in a vein.
intravenous antibiotic,Medication that kills bacteria administered through a vein.
intravenous antibiotics,Medicine that kills bacteria and is given through a vein.
intravenous chemotherapy,Administering drugs directly into a vein to treat cancer or other diseases.
intravenous contrast,A drug injected into a vein to enhance images of organs or blood vessels.
intravenous fluid,Fluids that go straight into a vein through a needle.
intravenous immunoglobulin,Antibodies injected into a person through a vein to help fight diseases.
intravenous injection,Putting fluids and medicine straight into a blood vessel using a needle.
INTRAVENOUS PYELOGRAM,X-ray test with dye injected into the blood to take pictures of the kidneys and ureters.
intravenously,Through or inside a vein.
intraventricular,Related to the inside of a section of the heart or brain.
intraventricular extension,A stroke that happens when there is bleeding in one of the brain's fluid-filled chambers.
intraventricular hemorrhage,Bleeding inside the brain.
intravertebral,Intravertebral means located between two spine bones.
intrinsic,Intrinsic means something that comes from within or is a natural part of something.
intrinsic bts,"Heart beats that start naturally, not from a pacemaker."
intrinsic factor antibodies,Proteins made by the immune system in response to a specific type of anemia.
intrinsics,Intrinsics are things that happen because of a specific part of the body.
introduce,Insert something into something else.
introduced,To put something inside something else.
introducer needle,A tool that helps put tubes into blood vessels.
intron,A section of genetic material that gets removed from RNA but remains in the DNA.
Intropin,"Intropin is a substance that affects movement, mood, pleasure, heart function, and blood flow in the body."
intrventricular conduction delay,"Heart's electrical signals are slow in a specific part, causing a delay in the heart's normal rhythm."
intub,Putting a tube in someone's windpipe to help them breathe.
intubated,Putting a tube in someone's windpipe to assist them with breathing.
intubation,Putting a tube in the windpipe to help someone breathe.
intubations,Putting a tube into someone's windpipe to help them breathe.
Intuniv,Intuniv is a medication.
intussuception,When a part of the intestine folds into itself.
intussuscepted,When something folds in on itself and causes a pocket to form inside.
INTUSSUSCEPTION,When the intestine folds into itself.
invaded,To break into an organ or space.
INVADER,A test to detect changes in the DNA that affects a protein needed for blood clotting.
INVADER ASSAY,"A highly sensitive test that detects alterations in the DNA responsible for producing prothrombin, an essential blood-clotting protein."
invades,To forcefully enter and occupy a part of the body or a designated area.
invading,Invading means to burst into a body part or area without permission.
invaginate,It's when something folds inward.
invaginating,Folding in on itself.
INVAGINATION,Folding in on itself.
invaginations,Folds inward on itself.
INVASION,Invading tissues means growing into nearby healthy cells or structures.
invasive,When cancer spreads into healthy tissues.
invasive bladder,Invasive bladder: Cancer that has grown into the bladder wall.
invasive bladder cancer,Bladder cancer that has spread into the bladder wall.
Invasive breast cancer,Breast cancer that has spread from the breast to nearby tissue.
invasive cancer,Cancer that has spread from its original location and is now growing into nearby healthy tissues.
invasive lobular carcinoma,A form of breast cancer that originates in the milk-producing glands and extends to nearby healthy tissue.
invasive procedures,Medical procedures that involve penetrating the body through the skin or body openings.
invasively,Invading the body with penetration.
inversion,Inversion is when something is turned inward or upside down.
inversion recovery,A technique in imaging that filters out specific tissue signals.
inversions,Inversions are basically when something is turned inward or upside down.
inverted,Inverted means flipped in the opposite direction.
inverted papilloma,A tumor where cells from the top layer grow into the tissue beneath.
inverting,Inverting means flipping something over or turning it inside out.
inverts,Inverts means turning inward.
investigate,To investigate means to check something out.
investigated,Look into something to find out more about it.
investigating,To look into something.
investigational,An investigational test is when scientists try out a new drug in a lab experiment.
investigational study,An experiment in the lab where they test a drug.
involuntarily,Your body doing things on its own without you telling it to.
involuntary,Doing something that you didn't choose to do.
involuted,When an organ returns to its original size.
involutional,"When the brain shrinks with age, it's called involutional, and it can impact brain function."
involutionally,"The shrinking of the brain, which can occur as a person gets older and impact their functioning."
involvement,Involvement is the extent to which cancer has spread in the body.
IO catheter,A tube inserted into a bone to deliver fluids and medication.
ioban,A protective film that goes on your skin to block germs during surgery.
iodinated,Adds color to cells.
IODINATED CONTRAST,A liquid substance with iodine to make X-ray and CT scans clearer.
IODINATED RADIOCONTRAST DYE,A substance that helps doctors see inside the body more clearly in medical imaging.
iodinated radiocontrast dyes,A substance that helps to see inside the body better during imaging.
iodine,Iodine is an essential element for the body found in seafood and salt that helps with various bodily functions.
Iodofor,A drug that is used to clean and sterilize.
iodoform,A disinfectant drug called iodoform.
Iodopen,Iodopen can help with fluid buildup in the eye after laser eye surgery for glaucoma or cataracts.
Iodosorb ointment,A type of medicine applied to the skin to heal ulcers and infected wounds.
IOL,A small lens surgically placed inside the eye.
ion,An ion is a charged particle with uneven number of electrons.
ionitropic,Using drugs to make the heart beat stronger and improve blood flow.
Ionized,"A mineral that is essential for maintaining healthy teeth, bones, and body tissues, as well as making sure the heart and nerves function correctly."
Ionized Ca,Calcium in the blood that is not bound to proteins.
Ionized Calcium,It's the loose calcium floating around in your blood.
ionotropic,A group of medications that can make the heart beat harder or softer.
ions,Ions are tiny charged particles.
IOP,IOP is the pressure inside the eyeball that helps maintain its shape.
IP joint,The joints in fingers and toes that let them bend.
IP JOINTS,The joints in the hand that bend.
IPF,IPF is a condition that makes the lungs scarred.
IPMP,A tumor in the pancreatic duct that makes thick fluid.
IPPV,A breathing machine that helps patients get more oxygen into their bodies.
IPRATROP,A medicine that helps asthma patients breathe better.
ipratropium,Ipratropium is a medicine that helps people with asthma breathe better.
ipratropium bromide,A medicine that helps you breathe better.
IPS,"Symptoms similar to pneumonia, but without a lung infection present."
ipsalateral,On the same side of the body as something else.
ipsilateral,On the same side of the body or point.
ipsilaterally,On the same side of the body or point.
IPSS,"A scoring system used by doctors to evaluate how serious a person's myelodysplastic syndrome is, with higher scores indicating a higher risk of severe illness."
Ipt,Medication that helps people with asthma breathe more easily.
IRDS,A breathing problem in babies due to underdeveloped lungs.
Iressa,A medicine used to treat lung cancer and other types of cancer.
IRF,"A type of treatment focusing on intense physical, occupational, and speech therapy for patients."
iridectomies,Procedure to remove a portion of the colored part of the eye.
irinotecan,Medication used to treat colon or rectal cancer either alone or in combination with other drugs.
iris,The colored part of your eye that adjusts the size of your pupil.
iritis,Swelling of the colored part of the eye.
iron deficiency,Not enough iron in the body causing tiredness and low red blood cell count.
Iron Man wire,Iron Man wire is a type of medical wire used during heart procedures.
iron overload,"When the body stores more iron than needed, it's called iron overload."
iron polysaccharide,Iron polysaccharide is a type of iron supplement.
iron saturation,A blood test that measures how much iron is carried in the blood.
Iron studies,Tests that check how much iron is in your blood and how your body uses it.
IRON SULFATE,A type of iron for fixing low iron levels in the blood.
iron-deficiency anemia,Having too few red blood cells and oxygen levels because the body doesn't have enough iron.
irradiate,To be exposed to radiation as a treatment for cancer.
irratable,Easily annoyed or frustrated by people or things.
irrational thought,Thoughts that don't really add up or make sense.
irreconcilable,Unable to be resolved or fixed.
irreg,Something that's not normal or consistent.
Irreg Irreg,A heart rhythm that is chaotic and unpredictable.
irregularities,Unusual happenings or instances of something being different than expected.
irregularity,Irregularity means when something unusual happens.
Irregularly,Irregularly means a heart rhythm that doesn't follow a set pattern.
irregularly irregular,When the heart beats in a totally unpredictable way.
irrgiated,Cleaning a wound or body opening by flushing it with liquid.
irriatation,Intestines break down food in the belly.
irrigant,Irrigant is a liquid used to clean a specific area of the body.
irrigated,Cleaning out a wound or bodily opening with a jet of water or other liquid.
irrigating,To clean out a wound or body opening with a stream of water or liquid.
irrigation,Cleaning a body cavity or wound by flushing with water or another liquid.
irrigations,Cleaning a body cavity or wound with a stream of water or fluid.
irrigator,A tool that cleans a wound by spraying it with a liquid solution.
irritability,Getting easily annoyed by little things.
irritable,Easily upset and annoyed by people and things.
irritable bowel syndrome,"Irritable bowel syndrome is a condition that causes issues in the gut like diarrhea, constipation, and pain without a clear reason or cure."
irritant,Something that makes you uncomfortable or annoyed.
irritative,"Something that is red, swollen, and possibly causing discomfort."
IRV,The extra air you can breathe in after a regular breath is called IRV.
is coronary,Coronary means to do with the heart.
ischaemia,When blood flow is reduced due to narrowed or blocked blood vessels.
ischemia,Not enough blood flow due to blocked or narrowed blood vessels.
ischemic,Ischemic means reduced blood flow due to narrowed or blocked blood vessels.
Ischemic Bowel Disease,A condition where blood flow to the intestines is slowed or stopped due to narrowed blood vessels or a blood clot.
ischemic brain,"When a clot blocks blood flow to the brain, it causes a stroke known as ischemic brain."
ischemic cardiomyopathy,When the heart muscle is damaged and weakened due to reduced blood flow from coronary artery disease.
ischemic colitis,Swelling and damage in the large intestine due to lack of blood supply.
ischemic hepatitis,Liver damage caused by not enough blood flow to the liver.
ischemic necrosis,When tissue dies because it doesn't get enough blood supply.
ischemic penumbra,Areas of the brain affected by a stroke but can still recover.
ischemic stroke,A stroke that happens when a clot blocks blood flow to the brain.
ischial,Related to the ischium bone in the pelvis.
ischial medial,ischial medial: part of the hip socket.
ISCHIALANAL FOSSA,It's a pocket of fat close to your backside.
ischium,The ischium is the part of the pelvic bone you sit on.
ischmia,It's when not enough blood flows through your blood vessels due to a blockage or narrowing.
isclera,Yellow eyes can indicate liver or blood issues.
ish,A term used to describe the stuff that makes up genes.
ISHAK,"A scale used to measure how severe liver scarring is, ranging from 0 to 6, with higher scores indicating more severe scarring."
islet cell,Islet cells are groups of cells in the pancreas that make hormones.
islet cell tumor,A tumor that grows in specific cells in the pancreas.
islet tumor,A growth that forms in specific cells of the pancreas.
iso,Describing results of certain tests which show equal strength compared to something else.
iso-os,"A solution that has the same number of particles as another solution, like blood."
isocal,A special type of food for health conditions with high nutritional requirements.
isocenter,Where radiation beams converge in space.
isocenters,A point in space where radiation beams come together.
isochromosome,An isochromosome is a significant alteration in a chromosome's structure.
isodense,It looks the same as the nearby tissue in a body image.
isodose,Gets the same amount of radiation.
isoenzymes,"Enzymes with the same job, but different shapes."
isointense,"Having the same strength as something else, like when tests show images with uniform intensity."
Isolate,To be separated or detached from other things.
isolated,To be by yourself and away from others.
isolated hepatic perfusion,It's a procedure that blocks off the liver's blood supply to deliver cancer drugs directly without affecting other parts of the body.
isolating,To identify or locate something.
ISOLATION,Keeping someone separate to stop a sickness from spreading.
isolations,Keeping someone separate to stop the sickness from spreading.
isolette,"A mini, warm plastic crib that shields babies, keeping them safe from germs and helping to maintain body heat."
Isoleucine,Isoleucine is a type of building block for proteins found in the body.
isometric,Flexing a muscle to make it contract and appear more toned.
Isomil,A baby formula made from soy.
isoniazid,A medication for treating tuberculosis.
Isopaque,A substance used in medical imaging to highlight parts of the body.
isopril,Medicine for heart or breathing issues.
isopropyl,A substance that is used to clean and sterilize things.
isoproterenol,"A medicine for low heart rate, heart block, and sometimes asthma."
isoproterenol separation,Using isoproterenol during a test to figure out what's causing an abnormal heart rhythm.
Isoproteronol,A drug called Isoproterenol.
Isordil,A medicine that helps open up blood vessels and is used to treat chest pain.
isosorbide,A medicine that helps to prevent chest pain in people with a heart condition by widening blood vessels.
isosorbide mononitrate,A medicine that helps reduce chest pain by relaxing blood vessels and improving blood flow to the heart.
isosormophic,"Isoformophic refers to red blood cells in urine that are typically round or biconcave, suggesting bleeding from areas other than the kidney's glomerulus."
isosource,Special liquid food given through a tube when someone can't swallow.
ISOTOPE,A substance that emits radiation.
isotopes,"Various types of an element with varying numbers of neutrons, with some being harmful due to radioactivity."
ISS,Average in amount.
ISSS,Managing diabetes with insulin that gets adjusted based on blood sugar levels.
issues,The expected progression or result of a disease.
isthmic,"When a vertebra in the spine breaks and shifts, causing nerve compression and severe back pain."
ISTHMIC SPONDYLOLISTHESIS,"A condition where a bone in the spine breaks and shifts, possibly causing severe back pain."
ISTHMUS,A tissue that links two larger parts of an organ.
isuprel,A drug used to help with heart or breathing issues.
it needs,A kidney disorder where too much protein leaks into urine.
it would,Sicknesses caused by germs.
ITP,"An immune disorder where the body attacks its own platelets, which are necessary for blood clotting."
Itraconazole,Medication used to prevent or treat fungal infections.
its,It's a problem caused by something that happened before.
IUGR,It's when a baby doesn't grow as much as it should in the womb.
IUP,"A fertilized egg implanted in the uterus, where it should be."
IV antibiotic,Medication that kills bacteria administered through a vein.
IV antibiotics,Antibiotics given through a vein to kill bacteria.
IV BID,"A medication taken twice a day that acts like a natural blood sugar regulator, working for 8 hours."
IV Cardizem,"A medicine named IV Cardizem that helps lower blood pressure and prevent irregular heartbeats, also known as calcium channel blockers."
IV catheter,It's a tube put into a vein for giving medications or fluids.
IV contrast,A medication injected into a vein to enhance images of organs or blood vessels during medical scans.
IV cytarabine,A cancer drug called IV cytarabine is used for treating certain types of cancer.
IV Dye,A medicine injected into a vein to make it easier to see organs or blood vessels during medical imaging.
IV filter,A special filter inserted into a vein to catch blood clots.
IV Fluid,It's like a mineral and salt water mix that goes into your vein through a small tube.
IV fluids,IV fluids are a liquid containing minerals and salts that are delivered into a vein with a tube.
IV fracture,A fracture that affects three different sections of a bone.
IV hydration,Getting fluids pumped directly into your bloodstream through a needle in a vein.
IV immunoglobulin,A type of antibody that helps fight infections and diseases.
IV insulin,Fast-acting insulin used to treat diabetes.
IV isosorbide,Medication used to relieve chest pain by relaxing blood vessels for better blood flow to the heart.
IV lactobacillus rhamnosus,A helpful germ that aids in digestion in our intestines.
IV Push,IV Push means quickly injecting a medication directly into a vein.
IV site,Where a needle goes into your vein for medical treatment.
IV sites,Where a needle goes into a vein.
IV sulfamethoxazole,A drug mix used for fighting various infections.
IVAC,A foam dressing that helps drain fluid and reduce swelling after surgery.
IVC,The IVC is a big vein that brings blood back to the heart from the lower body.
IVC filter,A cone-shaped filter put in a big vein to catch blood clots.
IVD,A person who injects drugs directly into their veins.
IVDA,Using a needle to inject illegal drugs into the body.
IVDU,Someone who injects drugs into a vein.
IVE,When fluids and medicine are inserted into your body through a needle into a vein.
IVEW,IVEW is a lab technique that checks tissue samples for specific antibodies to help identify diseases.
IVF,IVF is when fluids are injected into a vein using a needle.
IVF--,Injecting fluids directly into a vein using a needle.
IVFs,Creating a pregnancy by mixing an egg and sperm outside the body.
IVH,Bleeding within the brain.
IVI,A process where an egg is fertilized outside the body and then placed in a woman's womb.
IVIG,IVIG is when someone is given a dose of antibodies through an IV line to help the body fight disease.
IVP,A quick shot of medicine into a vein through an IV line.
IVP DYE,"Dye used in X-rays to see the kidneys, ureters, and bladder better."
IVPB,A way to administer medication through a secondary IV tubing setup.
IVRT,The time in milliseconds between the aortic valve closing and the mitral valve opening in the heart cycle.
IVs,IVs involve getting fluids and medicine directly into your body through a needle in a vein.
Ixodes,Tiny bugs that suck blood and can make you sick with Lyme disease.
J-P,A J-P drain is a device that helps remove excess fluids from the body post-surgery.
J-P drains,A tool that helps drain fluid from a surgical area in the body.
j-tube,A tube that delivers food to the small intestine for patients who are unable to eat.
Jackson,A specialized table used in surgeries for the spine.
Jackson frame,A table specifically designed for spine surgeries.
Jackson table,A specialized table used during spine surgeries.
Jackson-Pratt drain,A device that helps drain fluids post-surgery.
Jackson-Pratt surgical drain,A tool to help drain excess fluid after surgery.
jacksonian seizures,Jacksonian seizures are a type of seizure that starts in a specific area of the brain due to abnormal electrical activity.
JAK mutation,A mutated gene that can lead to excessive production of blood cells in the body.
Jamshidi needle,A special needle for taking samples from bone marrow.
janeaway lesions,A skin lesion often found on palms or soles that can indicate an infection of the heart's endocardium.
Janeway lesions,A skin lesion usually found on the palms or soles that could indicate a heart infection.
Januvia,Januvia is a medication for type 2 diabetes.
jaundiced,Skin and eyes turning yellow from too many red blood cells breaking down.
jaw thrust,The jaw thrust is a move to help someone breathe better if they're unconscious.
jaws wiring,Fixing the jawbone with wires to help it recover.
JE JUNOSSTOMY,Creating a new pathway from the belly to the jejunum through a surgery procedure.
jejeunum,The jejeunum is a section in the middle of the small intestine.
Jejunal,Relating to the part of the small intestine called the jejunum.
jejunal loop,A jejunal loop is a section of the small intestine.
jejunal loops,A section of the small intestine.
jejunitis,Jejunitis is when the middle part of the small intestine becomes inflamed.
jejunojejunal,Two sections of the small intestine are connected through a surgical procedure.
jejunojejunostomy,A surgery that connects two sections of the middle part of the small intestine.
jejunoscopy,Looking inside the jejunum with a tube-like tool.
jejunostomy,A jejunostomy is a surgical procedure where a hole is made in the abdomen to reach the jejunum.
jejunostomy feeding,A tube that helps people who can't eat normally get the nutrition they need.
jejunum,The jejunum is the part of the small intestine in the middle.
JELLY,"A small amount of something, usually measured by 1 teaspoon or about 5 milliliters."
Jenning retractors,A tool that helps keep the mouth open during dental procedures.
Jenuvia,A medication for type 2 diabetes.
jeopardy,In danger of something.
jequirity,A type of drug commonly used as a poison.
Jergen,A Jergen is a cap that safeguards the ends of needle-like wires used in bone surgery.
jet,Cleaning a wound using a liquid to wash away infection and dead tissue.
jet lavage,Cleaning out a wound with liquid to remove infection and dead tissue.
jet ventilator,A jet ventilator is a machine that pumps high-pressure oxygen to help a patient breathe better.
jetting,Jetting is when blood vessels get hurt because they were sprayed with a high-pressure stream during a medical imaging procedure.
Jevity,Jevity is a type of high-protein nutrition product.
JG tube,"A tube inserted from the outside into the stomach and small intestine for releasing air, pressure, or giving food."
jig,A jig is a tool that helps keep things steady.
jka,"A protein that moves urea in blood cells and kidneys, but can lead to issues if antibodies are present during a blood transfusion or in newborns."
Job,The date when a woman's last period happened.
Johnson Johnson PFC,A type of artificial knee replacement made by Johnson & Johnson.
joint,"Where two bones come together, like the knee or elbow."
joint capsule,A joint capsule is like a wrapper that surrounds and protects a joint.
joint effusion,Fluid buildup in joint caused by inflammation and various reasons.
joint fluid,A liquid in your joints that helps them move smoothly.
joint fusion,A surgery that connects the bones on either side of a joint to prevent movement.
joint laxity,"Having joints that move more than they should, leading to potential discomfort."
joint pain,Pain in the joints.
joint pains,Pain in a specific joint or multiple joints in the body.
joint space,The area between two bones in a joint that shows up as a gap on X-rays.
joint space narrowing,A thinning of cartilage on an X-ray that shows arthritis.
joint spaces,"The space in a joint that shows up on X-rays, made of cartilage and not as dense as bone."
joints,Where bones connect in the body.
Jorgenson,A type of scissors with a long handle and curved blade used for cutting tissues inside the body.
Jorgenson scissors,Surgical scissors with a long handle and curved blade for cutting tissues inside the body.
joule,A joule is a measure of energy.
joules,Joules are a way to measure how much energy something has.
jovial,A jovial person is someone who is cheerful and fun to be around.
JP drain,A JP drain is a tool that gathers fluids from the body after surgery.
JP drains,A tube that collects fluids from the body after surgery.
JP-,It's a device used after surgery to remove excess fluids from the body.
JPEG,A JPEG is a file format commonly used to store and share digital images.
JPs,A JPs is a tool to drain fluids post-surgery.
jpx,A tool to drain excess fluids in the body after surgery.
JRA,"Arthritis that affects children, causing joint pain, stiffness, and swelling."
jtube,It's a tube used to feed patients directly into their small intestine.
juandice,A liver disease that makes your skin yellow.
juandiced,A liver disease that makes your skin appear yellow.
juctional rhythm,"A heartbeat that starts from a different place than normal, closer to where the atria and ventricles meet in the heart."
judgement,Judgment is the skill to think and choose what to do.
Judkins,A thin tube used in heart procedures is referred to as a Judkins.
jugular,Jugular means relating to the throat or neck.
jugular system,The veins in your neck that help blood flow back to your heart.
jugular transducer,A jugular transducer is like a central venous pressure line.
jugular tubercles,Bumps on the sides of the skull.
jugular vein,A blood vessel in your neck that transports blood from your head back to your heart.
Jugular venous,A swollen neck vein indicating potential heart problems.
jugular venous distention,When your neck vein looks swollen due to heart problems or issues around the heart.
Jugular venous pressure,"The jugular venous pressure measures how well the heart is pumping blood by checking the pressure in a big vein in the neck that takes blood back to the heart after it has been around the head, brain, face, and neck."
jugulodigastric,"It's a part of your neck, near your jaw."
jugum,A little groove or bump in a bone.
jump graft,A type of surgery to go around several clogs in arteries.
jumping,A type of exercise that involves moving quickly off the ground without needing any special equipment.
junction,Where two things come together.
junctional,"The word ""junctional"" describes the area between the top and bottom parts of the heart."
junctional rhythm,A heartbeat that starts at the junction of the atria and ventricles rather than the usual SA node.
junctions,Connection points where things meet.
junk food,Unhealthy snacks that don't give your body important nutrients.
junky,Junky means crackling and rattling sounds in the lungs.
junstion,Where things come together.
Jupiter,A Jupiter is like a table for medical exams.
JUVEN,A substance that boosts wound healing called JUVEN.
juvenile arthritis,A type of arthritis that causes inflammation in the joints of children aged 16 or younger.
juvenile myoclonic epilepsy,A type of seizure disorder causing sudden muscle jerks in children and teens.
juvenile onset diabetes,A type of diabetes that begins in childhood and requires insulin to control blood sugar levels.
Juvenile Pilocytic Astrocytoma,A slow-growing brain and spinal cord tumor often found in children.
juvenile rheumatoid arthritis,"Arthritis that affects children, causing pain, stiffness, and swelling in the joints."
JUXTA,Close to or inside the kidney.
juxtapleural,beside the lining of the lungs.
juxtaposed,Putting two things next to each other.
juxtarenal,Near or next to the kidney.
JVD,A neck vein that bulges visibly.
JVP,JVP is like a gauge for the heart's pumping ability based on the blood flow in the neck vein.
K-DUR,A medication used to treat and prevent low blood pressure.
K-ras,A gene that can change and cause cancer.
K-wire,A metal pin often used in bone surgery.
K-wires,A metal pin used in bone surgery.
Kaletra,A medication using two drugs to slow down HIV/AIDS.
Kalt,"A brand of surgical tools called Kalt, including clamps."
Kaltostat,A dressing for wounds on the surface of the body.
Kanavel,Kanavel is a series of symptoms pointing to a hand tendon infection.
kangaroo session,Kangaroo session is when a preemie baby in just a diaper is held against a parent's skin for benefits.
Kaopectate,Medicine used for upset stomach also called Peptobismol.
KAP,"KAP helps the body fight off invaders, and changes in its levels can indicate how serious a disease is."
Kaposi sarcoma,A rare cancer that causes sores in various parts of the body.
Kappa,"A part of your body's defense system that fights off invaders, with its levels providing clues about the seriousness of illnesses."
Kappa and Lambda,"Proteins created by the body's defense system, with their balance sometimes changing in certain illnesses."
kappa light,It's a component that fights off bacteria and viruses in your body.
kappa light chain,A part of the immune system that helps fight off foreign substances and can indicate the severity and progression of disease.
Kappa Light Chains,A component of the immune system that can indicate the severity and progression of disease based on its levels.
Kappa multiple myeloma,A type of cancer affecting white blood cells causing damage to bones and kidneys.
karaya powder,"A natural powder used on irritated skin, especially around a stoma."
Karnofsky performance status,A scale to measure how well someone can perform daily activities.
Karposis sarcomas,A rare type of cancer that causes sores in various parts of the body.
karyo type,It's the look and count of chromosomes in cells.
KARYORRHEXIS,Karyorrhexis means when the nuclei in dying cells break apart.
karyotype,How many chromosomes and what they look like in cells.
Karyotyped,Karyotyped means looking at the chromosomes in cells to see how many there are and what they look like.
karyotypes,Karyotypes refer to how many chromosomes and what they look like in cells.
karyotypic,Karyotypic is how the chromosomes look in cells.
karyotyping,Examining the number and appearance of chromosomes in cells.
kas,Small harmless growths that commonly appear on the face.
Katzen,A tool used to administer fluids into the body.
Katzen wire,A wire inserted into the body to administer fluids.
Kawasaki,Swelling of the blood vessels in the body.
Kawasaki disease,Inflammation in the blood vessels throughout the body.
Kay,A medication used for treating and preventing low blood pressure.
Kayexalate,A medicine for reducing high levels of potassium in the blood.
kayexolate,A medication that helps lower high levels of potassium in the blood.
kcal,A unit for measuring how much energy is in your food.
kcals,Amount of energy in food.
KCL,KCL measures the concentration and strength of a solution based on the total number of particles in the molecule.
KDAB,A measure of how well a transplanted kidney is being accepted by the body.
KDARB,KDARB is a way to measure how well a transplanted kidney is being received by the body.
KDARO,A marker that signals how well a new kidney is being accepted by the body.
KDDR,KDDR tracks how well a new kidney is being accepted by the body.
Kdur,A drug used for low blood pressure treatment.
keep,A thin tube put into the bladder to help urine flow into a bag.
Kefles,A medication used to fight certain infections.
Keflex,Medicine for treating certain infections is Keflex.
Kegel exercises,Exercises that strengthen muscles in the pelvic floor to help with bladder control.
keloid,"A keloid is a raised, thick scar that forms due to excessive tissue growth after an injury."
Keo,"A Keo is a tiny tube inserted through the nose, stomach and into the duodenum."
Keppra,A medication for treating epilepsy-related seizures.
Keralyt,A product used to remove dead skin on rough or dry areas.
keratin,"Protein in hair, nails, and skin."
keratinaceous,"Full of keratin, a tough protein present in hair, nails, and skin."
keratinized,A protein that hardens the skin.
keratinizing,A protein that makes skin firm.
keratinocyte,The main cell in the top layer of skin.
KERATITIS,Eye inflammation affecting the cornea.
keratoacanthoma,"A fast-growing skin bump often found on sun-exposed areas, like the head and neck."
keratoconus,Thinning of the central cornea leading to blurry vision.
keratopathy,Damage to the clear part of the eye that affects vision.
Kerlix,Kerlix is a type of gauze that is used for dressing wounds.
kernel,A kernel is a tool used to enhance the clarity of CT images.
Kerning,A test for inflammation of the brain and spinal cord membranes.
Kerrison,A Kerrison is a medical tool for removing bone.
Kerrisons,A Kerrison is a tool used by doctors for cutting and shaping bones.
ketamine,"Ketamine is a drug that makes you numb and unaware, used for surgery and pain relief."
ketoacid,"A serious issue where acid accumulates in the blood due to conditions like diabetes, starvation, and alcoholism."
ketoacidosis,"A severe condition where acid levels increase in the blood, often due to diabetes, starvation, or alcohol abuse."
ketoconazole,Ketoconazole is medicine that helps treat infections from fungus.
ketogenic diet,A diet high in fats and low in carbs that makes your body burn fat for energy.
ketone,"A by-product produced in the body when fats are used for energy, often found in high levels in people with diabetes."
Ketones,Ketones are chemicals used in various products like perfumes and paints.
ketorolac,Ketorolac is medication for relieving pain.
ketosis,Ketosis is when acid levels in the blood get too high due to conditions like diabetes or starving.
ketostix,"A test strip for checking if there are ketones in pee, which can indicate high blood sugar levels mostly in people with diabetes lacking enough insulin."
ketotic,"When your body uses fat instead of sugar for energy, which can be harmful if there's too many ketones in your blood."
key,Essential and important.
key hole,A type of bladder surgery where the surgeon removes the bladder through small cuts in the skin.
key tones,"A result of breaking down fats for energy, often elevated in individuals with diabetes."
keyed,Keyed means a step used in a bone graft surgery.
keyhole,A spot on the head where doctors can safely drill to do brain surgery.
keys,Keys are essential and important.
kgs,A kilogram is a unit of weight that equals about 2.2 pounds.
kidney,A kidney is like a waste management system in your body that helps make pee and keeps you healthy.
kidney cancer,A type of cancer that grows in the kidney tissues.
kidney failure,When your kidneys stop working properly.
KIDNEY FUNCTION,Kidney function means how well your kidneys are working.
kidney pancreas transplant,"Replaces a person's kidney and pancreas with organs from a donor, often from the same donor, to assist those with kidney failure due to diabetes."
kidney stone,"Kidney stones are tiny, hard mineral chunks that form in your kidneys and can cause blockage and intense pain."
kidney stones,Hard deposits that form inside your kidney and can cause pain and block the urine flow.
kidney transplant,A surgery where a kidney is taken from one person and placed in another person.
kidneys,Kidneys are organs that clean the body by making pee.
Kiesselbachs,A network of blood vessels in the nose that supplies oxygenated blood to the nasal septum.
Killer Lymphoma,A type of white blood cell that fights off viruses in the body.
kilocalories,A kilocalorie is a unit that measures how much energy is in your food.
kilogram,A unit of measurement equal to around 2 pounds.
kinair,A special type of bed that helps prevent bedsores.
kinase inhibitor,A kinase inhibitor is something that stops a specific kind of enzyme called a kinase.
kindred,A kindred is a bunch of family members who are connected by blood or bond.
kinetic,A slight movement of a body part in response to a command.
kinetic tremor,A slight shaking of a body part like a hand or arm when it is being moved.
kink,A kink is like a twist.
